Season,Opened,Closed
49th,30/12/2018,10/03/2019
48th,05/01/2018,21/02/2018
47th,14/01/2017,18/02/2017
46th,23/01/2016,25/02/2016
45th,10/01/2015,09/03/2015
44th,31/12/2013,11/03/2014
43rd,18/01/2013,28/02/2013
42nd,15/01/2012,22/02/2012
41st,08/01/2011,06/03/2011
40th,14/01/2010,26/02/2010
39th,01/01/2009,05/03/2009
38th,25/01/2008,05/03/2008
37th,26/01/2007,12/03/2007
36th,07/01/2006,10/03/2006
35th,28/12/2004,16/03/2005
34th,14/01/2004,28/02/2004
33rd,03/01/2003,16/03/2003
32nd,02/02/2002,08/03/2002
31st,29/12/2000,09/03/2001
30th,31/12/1999,23/02/2000
29th,02/01/1999,16/03/1999
28th,21/12/1997,02/03/1998
27th,12/01/1997,22/03/1997
26th,01/01/1996,23/02/1996
25th,01/01/1995,09/03/1995
24th,30/12/1993,11/03/1994
23rd,29/12/1992,01/03/1993
22nd,28/12/1991,06/03/1992
21st,04/01/1991,02/03/1991
20th,24/12/1989,22/02/1990
19th,23/12/1988,14/03/1989
18th,04/01/1988,07/03/1988
17th,07/01/1987,02/03/1987
16th,27/12/1985,23/02/1986
15th,04/01/1985,22/02/1985
14th,25/12/1983,17/02/1984
13th,02/01/1983,14/02/1983
12th,27/12/1981,21/02/1982
11th,18/12/1980,17/02/1981
10th,01/01/1980,22/02/1980
9th,05/01/1979,23/02/1979
8th,29/12/1977,09/03/1978
7th,14/12/1976,27/02/1977
6th,20/12/1975,26/02/1976
5th,31/12/1974,28/02/1975
4th,01/01/1974,28/02/1974
3rd,25/12/1972,22/02/1973
2nd,26/12/1971,25/03/1972
1st,18/01/1971,26/02/1971
